commit_time,commit_id,gpu_index,folder,kernel,arch,compile_status,run_status,verify_passed,timing_avg_ms,tflops,status,compile_log,run_log,notes
"20260403_175403","710a32d048cf","1","blockscale_gemm","blockscale_gemm_dyn_sm90.co","sm_90a","ok","ok","1","0.0464147","370.138","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm__blockscale_gemm_dyn_sm90.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm__blockscale_gemm_dyn_sm90.run.log",""
"20260403_175403","710a32d048cf","1","blockscale_gemm","blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c.co","sm_90a","ok","ok","1","0.0792787","216.702","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm__blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm__blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c.run.log",""
"20260403_175403","710a32d048cf","1","blockscale_gemm","blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c_m2048_n2048_k2048.co","sm_90a","ok","ok","1","0.0563776","304.729","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm__blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c_m2048_n2048_k2048.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm__blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c_m2048_n2048_k2048.run.log",""
"20260403_175403","710a32d048cf","1","blockscale_gemm","blockscale_gemm_fp8_dynamic.co","","fail(134)","skipped","0","","","compile_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm__blockscale_gemm_fp8_dynamic.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm__blockscale_gemm_fp8_dynamic.run.log","compile failed"
"20260403_175403","710a32d048cf","1","blockscale_gemm","blockscale_gemm_fp8_static.co","","fail(134)","skipped","0","","","compile_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm__blockscale_gemm_fp8_static.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm__blockscale_gemm_fp8_static.run.log","compile failed"
"20260403_175403","710a32d048cf","1","blockscale_gemm","blockscale_gemm_fp8_static_fusion.co","","fail(134)","skipped","0","","","compile_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm__blockscale_gemm_fp8_static_fusion.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm__blockscale_gemm_fp8_static_fusion.run.log","compile failed"
"20260403_175403","710a32d048cf","1","blockscale_gemm_v2","blockscale_gemm_e4m3_dyn_sm90.co","sm_90a","ok","ok","1","0.0385073","446.145","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90.run.log",""
"20260403_175403","710a32d048cf","1","blockscale_gemm_v2","blockscale_gemm_e4m3_dyn_sm90_rhs_scale_dma_smem.co","sm_90a","ok","ok","1","0.0399697","429.822","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_rhs_scale_dma_smem.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_rhs_scale_dma_smem.run.log",""
"20260403_175403","710a32d048cf","1","blockscale_gemm_v2","blockscale_gemm_e4m3_dyn_sm90_tileN.co","sm_90a","ok","ok","1","0.103345","166.239","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_tileN.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_tileN.run.log",""
"20260403_175403","710a32d048cf","1","blockscale_gemm_v2","blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c.co","sm_90a","ok","ok","1","0.042825","401.165","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__blockscale_gemm_v2__blockscale_gemm_e4m3_dyn_sm90_warpspec_1p1c.run.log",""
